original_url,source_website,resolution,search_query,local_path,short_caption
https://cand.com.vn/Files/Image/chienthang/2020/04/06/08aecc16-8462-4443-9dbb-88aa6d1b572e.jpg,Công an Nhân dân,600x400,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910371.jpg,
https://cafebiz.cafebizcdn.vn/162123310254002176/2024/1/1/9-anh-1-via-he-duong-hung-vuong-quan-5-duoc-son-ke-vach-vang-ai-my-17040246564941929810802-1704073600647-17040736007441442461735.jpg,CafeBiz,2000x1500,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910372.jpg,
https://cdn.tiasang.com.vn/tiasang-media/2023/05/tam-hon-via-he-anh-3-1.jpg,Tạp chí Tia sáng,1901x1271,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910372.jpg,
https://cand.com.vn/Files/Image/chienthang/2020/04/06/thumb_660_54694809-c46f-4468-85cf-5193893d216d.jpg,Công an Nhân dân,660x451,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910372.jpg,
https://icdn.dantri.com.vn/thumb_w/680/dansinh/2024/10/03/anh-2b-ky-2-kinh-te-via-heok-1727930149378.jpg,Dân sinh - Dân trí,680x454,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910372.jpg,
https://static.tuoitre.vn/tto/i/s626/2017/03/15/ht-viahe-2-jpg-1489550320.jpg,Báo Tuổi Trẻ,665x443,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910372.jpg,
https://media-cdn-v2.laodong.vn/storage/newsportal/2023/9/20/1244094/Via-He-HN.00_00_03_2.jpg,Báo Lao động,1920x1080,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910372.jpg,
https://file3.qdnd.vn/data/images/0/2022/10/02/tuanson/3.jpg,Báo Quân đội nhân dân,570x355,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910372.jpg,
https://file1.dangcongsan.vn/data/0/images/2022/12/23/upload_34/viaa-he.jpg,Báo điện tử - Đảng Cộng sản Việt Nam,660x495,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910373.jpg,
https://tl.cdnchinhphu.vn/344445545208135680/2023/3/31/via-he-3-16802486785141789412253.jpg,thanglong.chinhphu.vn - Cổng Thông tin điện tử Chính phủ,2000x1224,vỉa hè đường phố việt nam,images/vỉa hè đường phố việt nam_1736910373.jpg,
